,Cuckoo Search,Fruit Fly,Whale Optimization Algorithm,Water Wave Optimization,Krill Herd
0,-0.5325758802841357,-0.6298772267917973,-0.6347741545780563,-0.5073245447637512,-0.5431128962860436
1,-0.7329454676842343,-0.7191768220107928,-0.7704940269246121,-0.5598172745805635,-0.6444667565230962
2,-0.8131942370375067,-0.7767992568979867,-0.8336037268155314,-0.6943749763833089,-0.6884502136735919
3,-0.8486492464012976,-0.7837280861852307,-0.9148448942546681,-0.7272786652495286,-0.7752607252913382
4,-0.8974404419932668,-0.785554842657947,-0.956741293205221,-0.7926684884548334,-0.7752607252913382
5,-0.9346248841661378,-0.8179754375224879,-0.9711025680113285,-0.796091719513496,-0.7755551191899321
6,-0.9448351784769337,-0.8147097748960478,-0.981909195471627,-0.8328478332124785,-0.8811773647147654
7,-0.9493474364371468,-0.8037491040671767,-0.9866872362725643,-0.8338196060581569,-0.8811773647147654
8,-0.98782695463747,-0.7777578177145045,-0.999126847808148,-0.8477138817369338,-0.9177706866218365
9,-0.9898065956005222,-0.8475235375414577,-1.0074033568469958,-0.8922865765741577,-0.9325343177548447
10,-1.0057112206121126,-0.8210120248124028,-1.0111630945351453,-0.8922865765741577,-0.933312534588714
11,-1.0100053593065679,-0.8323337401457263,-1.0183061105206985,-0.8972808688821884,-0.9425826470720615
12,-1.0102928290556639,-0.8109169594803893,-1.022589290268408,-0.9169076480256771,-0.950567489179807
13,-1.0196644623412514,-0.8348467360578751,-1.0231773614537731,-0.9422324293961031,-0.9714940496168779
14,-1.021792861201551,-0.8536358950540788,-1.0245157667090696,-0.973043862404521,-0.9748119634507777
15,-1.022000076627961,-0.8415866256553439,-1.0267622438789015,-0.9816191927856558,-0.9748119634507777
16,-1.0236168214922092,-0.8642498940274619,-1.0275697838261033,-0.9822510920457719,-0.9831680534260394
17,-1.0236450753029784,-0.8408450538699164,-1.0278052704428018,-0.9871368647739537,-0.9832325372041858
18,-1.0250973643974104,-0.8248502196463136,-1.0289823789508463,-0.9885418685414571,-0.9895177958485591
19,-1.027665589267498,-0.8290678634552264,-1.0294254478524287,-0.9885860471562143,-1.0010138861662157
20,-1.0282550112774091,-0.8494158880305142,-1.029515231473225,-0.998534026254849,-1.0064006411690278
21,-1.0294530667625446,-0.8528214034471615,-1.0297414754011602,-1.011842529626896,-1.0104858846493834
22,-1.0295941729720397,-0.8482451552499386,-1.0302957081410116,-1.011842529626896,-1.0124383233375025
23,-1.0297211622437243,-0.8604368816965111,-1.0305307625586642,-1.0121916123234822,-1.01644055180868
24,-1.0305716225163126,-0.8369515103122961,-1.0306120078273777,-1.0125125449441879,-1.01644055180868
25,-1.0307959609744655,-0.8128761805852547,-1.030743268369682,-1.0125125449441879,-1.0173414202887467
26,-1.0312085930691464,-0.858840996688724,-1.030803983972252,-1.0128679863951242,-1.019324759772655
27,-1.0312140235207605,-0.841557114667985,-1.0310725652271864,-1.0151098233225793,-1.0205056571121947
28,-1.0312926383103764,-0.8695146390935193,-1.031105513860266,-1.0157655267392107,-1.0220439343389853
29,-1.0313695076967493,-0.8245913539504122,-1.0311180072192438,-1.0169877192937653,-1.0226732785644004
30,-1.0313874212127963,-0.8529310509456561,-1.0311660980231405,-1.0169877192937653,-1.0228378466795272
31,-1.0313874212127963,-0.8508926059218748,-1.031223175024413,-1.0169877192937653,-1.0234270647399029
