,0,1,2,3,4,5,6,7,8,9
0,3.9613156976869845e-08,5.727058149940234e-08,5.343194564577658e-08,7.05562220315592e-08,6.000720564891537e-08,5.012857900998924e-08,5.196231955828523e-08,7.082116110224135e-08,6.598103580168768e-08,6.809688524178625e-08
1,1.8361160480928618e-08,2.5060527653053555e-08,2.2707121072329528e-08,3.335947235116876e-08,2.6589920987252214e-08,2.5497754685410712e-08,2.5694346261762036e-08,3.676497112303778e-08,3.0580033560934083e-08,4.352403254470616e-08
2,1.2414363315116361e-08,1.3747346760961676e-08,1.7417933095842386e-08,1.8849269811660463e-08,1.7872411883779193e-08,1.607616795240574e-08,1.6382394829594915e-08,2.8117326966725642e-08,1.72047789903651e-08,2.0666754474429894e-08
3,8.959820996246037e-09,9.91895754420824e-09,1.1861311377536765e-08,1.2887731548616443e-08,1.1705217850543903e-08,1.1333444627226186e-08,1.0358547075650648e-08,1.4558707905898416e-08,1.1888565243367566e-08,1.313741299080462e-08
4,7.004751167993817e-09,7.714223537735876e-09,8.522306249592049e-09,9.348680829468492e-09,7.859815742694565e-09,7.887421715757625e-09,7.220707420874106e-09,9.30094257167724e-09,9.411347146048854e-09,1.1476929961951043e-08
5,5.655707679963484e-09,5.910398559461072e-09,6.614353176281895e-09,6.895306436938142e-09,6.6706635215574295e-09,6.120065343395709e-09,5.438684724801135e-09,6.758193449307726e-09,7.615191699450463e-09,7.605351848294362e-09
6,4.206937409545475e-09,4.409213327782879e-09,5.102044897675739e-09,5.323204710361296e-09,5.448399897911571e-09,4.992143365356583e-09,4.204357306747397e-09,4.989144264389012e-09,5.1490058328163e-09,6.023249121689389e-09
7,3.2769980062852255e-09,3.6140512249538403e-09,4.138956510857383e-09,3.894326028319739e-09,4.528988517549237e-09,4.069919734561722e-09,3.4982773344793827e-09,4.01122179916058e-09,4.19674844875928e-09,4.535051945087076e-09
8,2.892724892955556e-09,2.929654074890209e-09,3.7605268343732234e-09,2.933539189342582e-09,3.6903904376828223e-09,3.3535472176993153e-09,2.8649415617643115e-09,3.1105580333701255e-09,3.3025596701818927e-09,3.6681855886122605e-09
9,2.464375259414453e-09,2.504238427736283e-09,3.1034533831686417e-09,2.5168221950977454e-09,2.9387222655330447e-09,2.8015001429793074e-09,2.384413833045329e-09,2.5066652087346597e-09,2.8834580279024635e-09,3.2766670488015848e-09
