,fitness
0,0.23716138846245782
1,0.15974490402622943
2,0.1130274808748584
3,0.03984403046949843
4,0.2996464257612662
5,0.07813894021763941
6,0.2612243668182795
7,0.2089072150484155
8,0.12116379265886525
9,0.054260590322017285
0,0.3906311846876311
1,0.2040191424626209
2,0.1343535289310631
3,0.3416210255020864
4,0.1113328188483177
5,0.2891513612197534
6,0.1614598570052007
7,0.2941851928736074
8,0.1292153519211144
9,0.430295124264173
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
