,fitness
0,-0.0
1,-3.6155203652399064e-112
2,-0.8701067831037745
3,-0.02571558694457041
4,-6.233596281289192e-47
5,0.0
6,-0.22671446023197786
7,0.0
8,-0.5945730546806866
9,-0.0
0,-5.879908009815424e-293
1,0.0
2,-6.109798694885999e-126
3,-0.6883352530610498
4,-7.014400081978526e-134
5,-2.8593934976487747e-82
6,-3.2560099501859824e-263
7,0.0
8,-0.999264020756756
9,-8.096023470488029e-251
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
