,fitness
0,-0.9994424637219926
1,-0.9739070972917315
2,-0.6409448538142293
3,-0.9671739228593305
4,-0.989815629207932
5,-0.9999998688667063
6,-0.9993579291716332
7,-0.9999864218916251
8,-0.9518829661941512
9,-0.9671019016036166
0,-0.6444886201844677
1,-0.8380042220122523
2,-0.9827260898464488
3,-7.76582831731137e-05
4,-0.5726790165126888
5,-0.9999999407167572
6,-0.8038615189492366
7,-0.9996975460015228
8,-0.9753297849868172
9,-0.999767491343732
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
