,fitness
0,0.007998632365763592
1,0.00067097450921072
2,0.002136490889497966
3,0.0010379744357157383
4,0.004328825294586114
5,0.0002491122456355077
6,0.002004400870388112
7,0.00023056744185045996
8,0.0015573923812922663
9,0.007962729765911947
0,0.0027870477382071
1,0.0040201757284498
2,0.000528009918791
3,0.0016308361843342
4,0.0056819696350348
5,0.0022582322279914
6,0.0048555223180913
7,0.0100121211376691
8,0.0035702005404231
9,0.009943524508837
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
