,fitness
0,1.0299938197867577e-06
1,1.232119595049475e-08
2,1.0068138341658209e-07
3,0.1100463847255074
4,1.592738488108013e-06
5,0.10988593033765716
6,0.11331960349118836
7,0.16002615117194305
8,5.5301823956543175e-06
9,0.15195133200758912
0,0.001963051508941
1,3.9057201916257134e-05
2,0.0028317280352858
3,0.0001325577669829
4,0.0411872943280276
5,0.0001138464229072
6,0.1123487859962244
7,6.383876382533302e-17
8,0.2888529884476133
9,0.014148430646887
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
