,fitness
0,9.753899673691154e-10
1,8.068023322690841e-06
2,1.240932569184881e-07
3,0.000258076881604395
4,3.0034303701300375e-06
5,9.236192392706845e-07
6,1.0186552008570041e-05
7,1.203669529609945e-05
8,9.570365950692341e-09
9,4.468959969753465e-06
0,0.0014704845882955
1,0.0025411795537499
2,0.000123925948661
3,0.005909531015133
4,1.5984740507885082e-06
5,1.2557579966443803e-06
6,6.673708856047875e-06
7,3.499623459941419e-05
8,1.691423254863989e-05
9,0.0001613040742152
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
