,fitness
0,0.07750364093333904
1,0.023428551720944806
2,0.028571222009129166
3,0.002830483126306823
4,0.0078067462633330705
5,0.0053125108596511
6,0.010087650232636245
7,0.06260371384229449
8,0.038707554699938945
9,0.016724205219226126
0,0.0753493472038701
1,0.0863942578055794
2,0.1038666411927814
3,0.1118211282794932
4,0.1483978981062934
5,2.0262113665115657e-07
6,0.0062035597619563
7,0.0141733535489138
8,0.0745117242073889
9,0.118696615727288
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
