,fitness
0,1.0297158380280153e-29
1,2.405910508731095e-26
2,0.3296904195254497
3,0.3296899791071998
4,1.9527122792153406e-30
5,0.3296901940297538
6,1.2867054375487899e-27
7,1.4502630320114023e-17
8,6.613962772764631e-29
9,1.0491794690089564e-29
0,3.301450263237166e-37
1,1.5427620321036793e-37
2,0.3296906575407951
3,6.944232999842595e-35
4,0.3296903746909314
5,0.3296900810420398
6,4.768697075455996e-38
7,1.7227461050645338e-42
8,3.520227229854838e-33
9,3.286905500001746e-34
10,1.3416815378621444e-19
11,0.3296903232676575
12,0.3296915761442548
13,0.3296927918832194
14,0.3296903074770216
15,0.3296903633400747
16,0.3296907473225801
17,1.1726924642820906e-24
18,2.3826517887345606e-20
19,0.3296899968514186
