,fitness
0,0.000323908933502981
1,0.0003329754975145427
2,0.00032469823081671123
3,0.00033152706423367206
4,0.0003289901783642968
5,0.0003198843205187707
6,0.00033604711003620835
7,0.00032199244334352173
8,0.000329585602614646
9,0.00032956684476959097
0,0.0003225692263204
1,0.0003249178737871
2,0.0003298138219247
3,0.0003343601149095
4,0.0003270147905181
5,0.0003361532497376
6,0.0003336260309336
7,0.0003268859636205
8,0.0003262075038397
9,0.0003271382847072
10,0.0003369424160877
11,0.000324990471832
12,0.0003298501990838
13,0.0003287010079344
14,0.000326563042329
15,0.0003274546182656
16,0.0003202940049651
17,0.0003297510922739
18,0.0003277210907275
19,0.0003256272020419
