,fitness
0,4.440892098500626e-16
1,3.9968028886505635e-15
2,3.9968028886505635e-15
3,4.440892098500626e-16
4,4.440892098500626e-16
5,4.440892098500626e-16
6,4.440892098500626e-16
7,4.440892098500626e-16
8,3.9968028886505635e-15
9,4.440892098500626e-16
0,4.440892098500626e-16
1,4.440892098500626e-16
2,3.996802888650564e-15
3,4.440892098500626e-16
4,3.996802888650564e-15
5,4.440892098500626e-16
6,4.440892098500626e-16
7,3.996802888650564e-15
8,4.440892098500626e-16
9,3.996802888650564e-15
10,4.440892098500626e-16
11,4.440892098500626e-16
12,3.9968028886505635e-15
13,4.440892098500626e-16
14,7.549516567451064e-15
15,4.440892098500626e-16
16,3.9968028886505635e-15
17,3.9968028886505635e-15
18,4.440892098500626e-16
19,3.9968028886505635e-15
20,3.996802888650564e-15
21,4.440892098500626e-16
22,4.440892098500626e-16
23,4.440892098500626e-16
24,4.440892098500626e-16
25,4.440892098500626e-16
26,4.440892098500626e-16
27,4.440892098500626e-16
28,4.440892098500626e-16
29,4.440892098500626e-16
30,4.440892098500626e-16
31,3.9968028886505635e-15
32,4.440892098500626e-16
33,3.9968028886505635e-15
34,4.440892098500626e-16
35,3.9968028886505635e-15
36,3.9968028886505635e-15
37,4.440892098500626e-16
38,3.9968028886505635e-15
39,4.440892098500626e-16
40,4.440892098500626e-16
41,3.996802888650564e-15
42,7.549516567451064e-15
43,3.996802888650564e-15
44,4.440892098500626e-16
45,3.996802888650564e-15
46,3.996802888650564e-15
47,7.549516567451064e-15
48,4.440892098500626e-16
49,4.440892098500626e-16
