,ParticleSwarmOptimization,WhaleOptimizationAlgorithm,CuckooSearch,GreyWolfOptimizer,FruitFly,KrillHerd,WaterWaveOptimization
0,-1.794500262949443,-1.8013014842738966,-1.8013034100985537,-1.8012642531366674,-0.9015088289523608,-1.8013034100772822,-1.801303224805914
1,-1.7938785055857096,-1.8012388608891072,-1.8013034100985537,-0.999999736721844,-0.1748995319038321,-1.801303410067456,-1.8011511148931418
2,-1.78695299605696,-1.8013033980800648,-1.8013034100985537,-1.8012703173933182,-0.3809838845917387,-1.8013034080135568,-1.801303410090103
3,-1.7894588860343958,-1.8012954216088537,-1.8013034100985537,-1.8012927754017318,-7.703992154733617e-07,-1.801303409964111,-1.798552480372873
4,-1.7799827479502348,-1.8012968026601206,-1.8013034100985537,-1.80127670438358,-0.0034114248226322,-1.8013034091700533,-1.801303340453365
5,-1.8009310987060925,-1.8012884408254388,-1.8013034100985537,-1.8013011389613824,-0.6760347218723918,-1.801303410064393,-1.801296644046844
6,-1.7870516787718578,-1.801290562716544,-1.8013034100985537,-1.8012723010906075,-0.0376346850233423,-1.8013034083082302,-1.8012979229087347
7,-1.7911477196050225,-1.8012656886102802,-1.8013034100985537,-1.8011970309268202,-0.0496700870256098,-1.8013034076859522,-1.800610419692573
8,-1.7966125162864024,-1.80130203882215,-1.8013034100985534,-1.8012495844726637,-0.3551487466513657,-1.8013034098935543,-1.8013032306585337
9,-1.8004394688736718,-1.8013024111632765,-1.8013034100985537,-1.8013016842276492,-0.5628220250604888,-1.8013034033787905,-1.7987285463725051
