,ParticleSwarmOptimization,WhaleOptimizationAlgorithm,CuckooSearch,GreyWolfOptimizer,FruitFly,KrillHerd,WaterWaveOptimization
0,1.307106495818111e-07,0.0,5.225219799065428e-07,0.0,4.0951686486323524e-12,6.539836977514923e-08,8.718709873756225e-05
1,1.520470197746704e-06,0.0,4.4428762774328955e-07,0.0,3.8753444897565714e-12,2.053559511328018e-08,0.0005644078778455
2,3.399985196717026e-07,0.0,2.358896411536193e-11,0.0,4.120259688988881e-12,2.2669067678560143e-08,0.0005818918570831
3,6.62065195444761e-08,0.0,2.422390896206217e-07,0.0,3.912870027988902e-12,1.076007299927184e-08,0.0166787643585131
4,3.631384167812613e-07,0.0,5.184837226224204e-09,0.0,3.9674930008004594e-12,6.994731199805315e-08,0.0265527598464856
5,1.4444974706429026e-05,0.0013697663036551,1.9361846292920152e-08,0.0,4.010791698760841e-12,1.4717363994165567e-09,0.0006713613356118
6,3.935919550168698e-06,0.0,2.723857861486323e-09,0.0,4.026112776500668e-12,2.101355156547413e-08,0.000140739161248
7,7.666461245670053e-06,0.0,7.443217708846817e-10,0.0,4.154898647357186e-12,1.7378409489232638e-08,1.9302192076908757e-06
8,2.9057683069710905e-06,0.0,3.260716141539888e-10,0.0,3.870903597658071e-12,6.035567068352067e-08,0.0088683064136826
9,3.469420116419819e-06,0.0,1.1519307729912498e-10,0.0,4.054534485931072e-12,4.619699289776236e-09,1.4797209225703156e-06
