,ParticleSwarmOptimization,WhaleOptimizationAlgorithm,CuckooSearch,GreyWolfOptimizer,FruitFly,SquirrelSearchAlgorithm,KrillHerd,WaterWaveOptimization,ArtificialBeeColony
0,2340.637969417588,2351.3749538735965,2204.010304522796,2320.048061301662,2816.22615187902,2207.593173069527,2331.835362952358,2261.9046284912865,2100.0
1,2203.2289426793104,2324.8478722139253,2217.9498826235563,2311.620837997694,2811.942123655936,2205.601610920989,2329.833372289101,2246.1670928282138,2100.0000000000005
2,2350.5514166659464,2384.901170408866,2203.685507019543,2315.945186984491,2822.6982328549147,2352.279458702233,2352.273516276171,2229.2023320010408,2100.000000000065
3,2334.682493924397,2345.6904884642468,2200.396060945395,2305.8352600087715,2819.481548839986,2201.6845838707018,2359.5506366579334,2243.912129244177,2100.000000000007
4,2330.4758141001694,2375.484674242801,2201.8457766976485,2316.152636891649,2785.0066763533187,2203.217126617378,2207.653827920574,2354.773868074441,2100.000000000005
5,2360.044851760446,2249.3931584317734,2203.2673044149665,2312.810004670451,2809.5559415487637,2352.5031788397728,2201.6289714390537,2327.547750758652,2100.000000000105
6,2368.139003998493,2337.837114471502,2205.030026234404,2201.840468183899,2821.453945019932,2201.4005515667327,2248.73884486622,2214.940812200851,2100.0
7,2346.6961877520544,2369.1134364319923,2205.436904904975,2315.145580290824,2820.911001919118,2350.828284264526,2325.5922333242606,2230.28214213102,2100.0000000004443
8,2200.610176955306,2376.2529815416387,2215.731022738565,2334.6992783385426,2799.936239853266,2351.98686263026,2327.8690752992097,2372.684851993847,2100.0000000114583
9,2352.435377034577,2333.486782517982,2200.6357109370933,2315.6233658299648,2820.0163821507736,2352.626986632016,2334.297174251016,2347.2876451792995,2100.0
