,fitness
0,9293.146811672194
1,18175.02706692263
2,7982.219120491392
3,13195.72904607117
4,12058.860907823444
5,12692.347368958397
6,13883.24136464472
7,3033.384110584494
8,18928.910311081974
9,11843.442758210651
0,3898652.8427298046
1,3308295.360976766
2,2765274.6690108413
3,2416754.5862613125
4,2836912.0561977467
5,12546342.072541049
6,6550359.669987899
7,381755.3684164745
8,35360.51753676312
9,355636.9746540355
10,1324.9697537692728
11,1218.3254017025658
12,1236.1844085953687
13,1279.2188642661158
14,1247.2660419277931
15,1160.5119851030051
16,1210.4379784435878
17,1201.4145082728123
18,1193.7207868748844
19,1266.2571850072477
