,fitness
0,1709.246479169194
1,1779.958580126643
2,1956.4155724844638
3,1698.9853091254035
4,1912.76831020243
5,1775.6216390549569
6,1975.6423195397617
7,1742.6337758237817
8,2066.074520760598
9,1783.5540561459338
0,2118.104989860636
1,1798.9894130684722
2,2119.278340202681
3,1907.4767883759705
4,1692.2838337588369
5,2143.7452048148407
6,1902.1383390228773
7,1888.0552185636016
8,2027.8392135586869
9,2030.1974308205608
10,15853.155396039065
11,18687.88338065713
12,8288.551185061002
13,8029.401727364843
14,23228.03875711038
15,21582.119916387663
16,6243.255527330188
17,21418.43289108827
18,11075.278384223608
19,13806.056524061749
20,2208.914217820816
21,1747.7324954012663
22,1956.860517127258
23,2717.902039872596
24,2607.235854334066
25,1534.7564198956115
26,5435.883804045945
27,6552.329826009291
28,5696.065532718262
29,2862.5214537811617
30,12088.318250600152
31,10598.718620642485
32,27361.64744717995
33,34582.901938344665
34,8038.565019454524
35,2978.335656229337
36,5800.033135122212
37,14457.60969475116
38,22362.85556011372
39,28083.365066287093
40,3898652.8427298046
41,3308295.360976766
42,2765274.6690108413
43,2416754.5862613125
44,2836912.0561977467
45,12546342.072541049
46,6550359.669987899
47,381755.3684164745
48,35360.51753676312
49,355636.9746540355
50,1324.9697537692728
51,1218.3254017025658
52,1236.1844085953687
53,1279.2188642661158
54,1247.2660419277931
55,1160.5119851030051
56,1210.4379784435878
57,1201.4145082728123
58,1193.7207868748844
59,1266.2571850072477
