,fitness
0,8309.05638040031
1,3239.3907444225333
2,109737.82382518965
3,4660.816722550257
4,2876.1133244972634
5,24023.683409726164
6,18756.776081041404
7,10354.55093012016
8,5928.990256073021
9,2743.8127437250573
0,3990.017630751181
1,14498.762796345229
2,6941.079402625218
3,34764.017378909644
4,18456.4878684942
5,37888.3758627153
6,2717.064642078978
7,35817.656171193456
8,27945.6539449823
9,19001.163024961643
10,1810.669180432946
11,1909.031672813354
12,1839.2298563219813
13,1825.518145236984
14,1764.022440977811
15,1770.5117084386995
16,1809.0245517067688
17,1802.8378521404973
18,1785.01037549455
19,1823.084077183508
20,2118.104989860636
21,1798.9894130684722
22,2119.278340202681
23,1907.4767883759705
24,1692.2838337588369
25,2143.7452048148407
26,1902.1383390228773
27,1888.0552185636016
28,2027.8392135586869
29,2030.1974308205608
30,15853.155396039065
31,18687.88338065713
32,8288.551185061002
33,8029.401727364843
34,23228.03875711038
35,21582.119916387663
36,6243.255527330188
37,21418.43289108827
38,11075.278384223608
39,13806.056524061749
40,2208.914217820816
41,1747.7324954012663
42,1956.860517127258
43,2717.902039872596
44,2607.235854334066
45,1534.7564198956115
46,5435.883804045945
47,6552.329826009291
48,5696.065532718262
49,2862.5214537811617
50,12088.318250600152
51,10598.718620642485
52,27361.64744717995
53,34582.901938344665
54,8038.565019454524
55,2978.335656229337
56,5800.033135122212
57,14457.60969475116
58,22362.85556011372
59,28083.365066287093
60,3898652.8427298046
61,3308295.360976766
62,2765274.6690108413
63,2416754.5862613125
64,2836912.0561977467
65,12546342.072541049
66,6550359.669987899
67,381755.3684164745
68,35360.51753676312
69,355636.9746540355
70,1324.9697537692728
71,1218.3254017025658
72,1236.1844085953687
73,1279.2188642661158
74,1247.2660419277931
75,1160.5119851030051
76,1210.4379784435878
77,1201.4145082728123
78,1193.7207868748844
79,1266.2571850072477
