,fitness
0,2637.630103127978
1,2612.524703075711
2,2621.037985696221
3,2637.577474858913
4,2615.460829764776
5,2611.6952317173705
6,2614.4130547031336
7,2634.2839011423853
8,2607.8296031422155
9,2634.9345195640317
0,2311.801287966548
1,2314.9667274030576
2,2321.362977183305
3,3752.677971514412
4,2322.686222471867
5,2332.823183031048
6,2316.593034534667
7,2313.271400089252
8,2327.31814858348
9,2330.229154730873
10,2353.408579783641
11,2366.05123064128
12,2365.672782662642
13,2339.1332888272195
14,2337.3489149640004
15,2336.844327714206
16,2341.07864875466
17,2361.002948275038
18,2329.1772502451054
19,2386.423917078147
