,fitness
0,395623.05884086346
1,332274.07785807154
2,384770.8314674908
3,396137.66146660707
4,342033.9076576268
5,397167.3896395486
6,374575.88604899275
7,403855.5998494004
8,321013.8538911397
9,391353.01894385216
0,3587.151754033908
1,3736.17985422619
2,3412.053184467738
3,3587.074552297528
4,3402.951522547141
5,3209.5807893457268
6,3221.2409319756466
7,3736.1800071970574
8,3412.795984576359
9,3736.2002459371306
10,3204.569321365236
11,3190.7139271586634
12,3173.2791566461788
13,3187.995127176312
14,3138.0253161003207
15,3129.781306397219
16,3097.5505969738647
17,3210.131324587092
18,3106.5988615218707
19,3177.032652517232
20,4429.168711511304
21,3179.100525013635
22,4222.5281132421
23,4105.248918588026
24,4412.900621121953
25,3461.318666273789
26,2818.2281442272674
27,3186.698183631451
28,3376.8679608719394
29,4728.180838349255
30,2965.7464418974705
31,2743.3957626548327
32,2938.848768269452
33,2952.717299627825
34,2921.4918560026017
35,2954.356236146224
36,2954.382806531628
37,3030.698900922346
38,2973.138200579607
39,3000.918356538683
40,2777.948391658461
41,2848.443987183324
42,2841.6086949824185
43,2781.330203621661
44,2802.510872599367
45,2818.6573276707377
46,2783.039693574259
47,2793.4854348212903
48,2819.842791549698
49,2760.470594249436
50,2640.276685460376
51,2667.9922252425417
52,2664.2994504127023
53,2670.34528474042
54,2698.61209248107
55,2644.264569188759
56,2689.5682637825253
57,2674.665634608671
58,2673.699037247551
59,2652.912877853905
60,2311.801287966548
61,2314.9667274030576
62,2321.362977183305
63,3752.677971514412
64,2322.686222471867
65,2332.823183031048
66,2316.593034534667
67,2313.271400089252
68,2327.31814858348
69,2330.229154730873
70,2353.408579783641
71,2366.05123064128
72,2365.672782662642
73,2339.1332888272195
74,2337.3489149640004
75,2336.844327714206
76,2341.07864875466
77,2361.002948275038
78,2329.1772502451054
79,2386.423917078147
