,fitness
0,300.00000000770103
1,300.0000000004249
2,300.0000000005049
3,300.0000000224666
4,300.0000001427863
5,300.000000268585
6,300.0000002322776
7,300.0000000305324
8,300.00000028854885
9,300.0000004523833
0,300.0
1,300.0
2,300.0
3,300.0
4,300.0
5,300.0
6,300.0
7,300.0
8,300.0
9,300.0
10,300.0
11,300.0
12,300.0
13,300.0
14,300.0
15,300.0
16,300.0
17,300.0
18,300.0
19,300.0
20,200.1180118876259
21,200.00370562547545
22,200.0183548489292
23,200.0189562870511
24,200.1111561600345
25,200.03683993544087
26,200.04934040159995
27,200.08820729466416
28,200.0789041529121
29,200.10012716999148
