,fitness
0,800.0000411058827
1,801.0188381975393
2,800.0000015325547
3,801.0188381975393
4,800.0000000073175
5,800.000013138895
6,800.0072605924014
7,800.0005933388302
8,800.0024687454257
9,801.0188381975393
0,800.0003260725858
1,801.0188381975393
2,800.0000203617242
3,800.0031797575862
4,800.0046448558892
5,801.0188381975393
6,801.0188381975393
7,800.0037548730269
8,800.0009011085472
9,800.0024105626749
10,800.0002288945761
11,800.0000091054167
12,801.0188381975393
13,801.0188381975393
14,800.0062268540959
15,800.0002299484328
16,800.0000001567279
17,800.0031527236865
18,800.0000335213504
19,800.0526937508674
