,fitness
0,0.0057320039782803
1,0.04692793339051555
2,0.0008941804395111674
3,0.01558562313297882
4,0.10310776292116657
5,0.015208354668646624
6,0.0096135304841353
7,0.0051336018779749365
8,0.040804703297783664
9,0.004977310011483827
0,0.0311788397097206
1,0.0034104492665105
2,0.0306119038912319
3,0.0246091237119893
4,0.0354032778531138
5,0.0071233282638128
6,0.0072670437492371
7,0.0035774499262478
8,0.2405536563414966
9,0.0205828322158323
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
