,fitness
0,0.07773499903937693
1,0.06012386492604957
2,0.043659272875145615
3,0.071612157888173
4,0.01484553417517463
5,0.033430777517097714
6,0.06835741530847829
7,0.028822647747760142
8,0.07123269547377487
9,0.05748667457710899
0,0.0515231251028921
1,0.0628165949746043
2,0.063744170036254
3,0.052130617634806
4,0.0929048196157471
5,0.0936541474003401
6,0.0677827383024947
7,0.0829805341815272
8,0.0213330098468604
9,0.0513107645197285
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
