,fitness
0,3.0612212125028875e-11
1,3.687426169924964e-11
2,4.663060588258348e-12
3,8.38917872441356e-11
4,2.276113130811824e-10
5,1.1095831669456104e-11
6,1.9667184927052526e-10
7,4.969647763635697e-12
8,6.981997407340111e-11
9,6.735299894080924e-11
0,1.2235909422957022e-12
1,1.0245747793702584e-10
2,1.0952046294510342e-09
3,6.641161177950414e-10
4,5.963478325738535e-11
5,1.916323181508208e-10
6,7.507271927833746e-10
7,5.988157610308602e-11
8,1.5822114262587375e-10
9,6.540739950744974e-10
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
