,fitness
0,6.228761332366151e-72
1,6.109072241721317e-63
2,6.186418671298612e-72
3,4.721954330396951e-84
4,1.4021555411600178e-69
5,1.1483546119278977e-69
6,0.29863847625193174
7,1.283179464686115e-75
8,4.681449259325884e-72
9,6.009406579178163e-69
0,2.3075299941724864e-42
1,1.3582760732124404e-47
2,5.804254570163539e-42
3,2.4603840851238277e-39
4,6.362911715602244e-43
5,0.2986384435236846
6,4.1785711848211e-33
7,1.853268761012021e-38
8,4.0541896306965646e-39
9,8.700975018891595e-44
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
