,fitness
0,-2.2518352724921094e-06
1,-2.297993974753356e-07
2,-4.5818595663486104e-07
3,-2.811082223085507e-07
4,-2.1357892154805437e-07
5,-2.7560488219707765e-07
6,-4.271654769875209e-07
7,-4.323152164868644e-07
8,-4.7573998298225084e-07
9,-6.18565467894936e-07
0,-1.3069164101583005e-07
1,-4.724197175636201e-07
2,-4.027220216894019e-07
3,-1.1133993747219213e-07
4,-6.955742671533587e-08
5,-4.68003847034392e-07
6,-4.670587082896834e-07
7,-5.444680440869714e-08
8,-4.926423350059724e-07
9,-2.96036367895484e-07
