,fitness
0,-0.9999949602364328
1,-0.9999983716118319
2,-0.999999550123112
3,-0.0
4,-0.9999999545686464
5,-0.9999998839104268
6,-0.9999998732094991
7,-0.9999992728988554
8,-0.9999981297484992
9,-0.9999997634216142
0,-0.9999997843582188
1,-0.999944973305796
2,-0.9999959772423964
3,0.0
4,-0.9999374396361652
5,-0.9999286224962703
6,-0.9999715916266324
7,-0.9998513902002094
8,-0.9996957893045834
9,-0.9999858448352996
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
