,fitness
0,1.3497838043956716e-31
1,1.3497838043956716e-31
2,1.3497838043956716e-31
3,1.3497838043956716e-31
4,1.3497838043956716e-31
5,1.3497838043956716e-31
6,1.3497838043956716e-31
7,1.3497838043956716e-31
8,1.3497838043956716e-31
9,1.3497838043956716e-31
0,1.3497838043956716e-31
1,1.3497838043956716e-31
2,1.3497838043956716e-31
3,1.3497838043956716e-31
4,1.3497838043956716e-31
5,1.3497838043956716e-31
6,1.3497838043956716e-31
7,1.3497838043956716e-31
8,1.3497838043956716e-31
9,1.3497838043956716e-31
