,fitness
0,3.1520528409600956e-09
1,0.8002437686876434
2,1.9899181396312535
3,1.6150707438100653e-09
4,1.617412976884225e-07
5,1.6589542539691138e-07
6,0.5342400889648395
7,0.6733291111649606
8,2.648732788657071e-08
9,1.3138517829247576e-08
0,7.725859063612006e-09
1,9.518858590240599e-08
2,6.147657671817798e-08
3,1.5164403066592056e-09
4,2.8288056341807533e-08
5,0.3364618598920899
6,2.7574678540531753e-08
7,0.9949592955431328
8,1.667324056597863e-09
9,1.3956409361526312e-08
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
