,fitness
0,9.222339940606616e-07
1,1.7783172410190673e-05
2,9.54628666249846e-06
3,0.0008462708960692567
4,0.004198590638331723
5,0.9950103652833207
6,1.0058704426413207
7,0.00013596741247567934
8,0.08765898202437228
9,0.026203553130748958
0,0.9958505128575936
1,0.0046206703142104
2,0.0155944783630914
3,0.9972342751159112
4,1.7615594316566785e-07
5,1.0104666083644958
6,0.0289278269316639
7,0.0443227995202661
8,4.528037213091807e-05
9,5.258174773814517e-06
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
