,fitness
0,0.00022939245150218823
1,2.0284844989719828e-05
2,0.0022337490102762956
3,0.003315348487798843
4,0.008879912617080125
5,0.0018027311283634266
6,0.00043547781182339543
7,0.00012097945604863608
8,9.299821798669339e-05
9,0.0004292071137824422
0,0.0009210364624
1,0.001651300397037
2,0.0027479607610911
3,0.0008287336479307
4,0.0149436377107327
5,0.0038435071987868
6,1.030832094919979e-05
7,0.0060513634556529
8,0.0186891776195391
9,0.0071898252239763
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
