,fitness
0,9.398829578314035e-05
1,5.7455601621783835e-09
2,8.367180827763106e-05
3,3.1376856751396585e-07
4,8.010047570193343e-07
5,1.0203962709399195e-06
6,1.609104182672038e-08
7,1.2374355620225176e-08
8,2.0697532459316193e-05
9,2.258452608813103e-05
0,0.0001233603178643
1,0.0001961705764379
2,2.889322424718876e-05
3,1.6834650925869604e-05
4,0.0018825917335436
5,7.91719906242839e-06
6,1.287239536608468e-07
7,2.7727208684553996e-08
8,3.2343195784266104e-05
9,2.1998446669364587e-05
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
