,fitness
0,2.254419831392591e-57
1,2.0650655361493264e-52
2,2.221162359577683e-63
3,6.920326840147884e-56
4,5.993550219597402e-57
5,2.7073316570339176e-49
6,1.2022533876951144e-47
7,5.0688608456848465e-53
8,5.425521439756617e-52
9,1.733938898422873e-56
0,2.0092124200651774e-52
1,1.406530004291222e-49
2,5.267499683540211e-57
3,1.5461616298419102e-50
4,1.0100153139825976e-50
5,1.856757999129275e-48
6,4.7673622557765146e-52
7,4.1888721841914426e-43
8,2.0307442717917927e-61
9,3.7915142870691866e-49
