,fitness
0,0.0010761372660401476
1,0.0010753862342254865
2,0.0010830576587650713
3,0.0010733784610290256
4,0.0010711286853476872
5,0.0010853318913446486
6,0.0010863053565468598
7,0.0010540825695576534
8,0.0010703577012645981
9,0.00107116455282961
0,1.0357902116217809e-37
1,8.258717868104871e-38
2,0.3296899647398697
3,1.0394554361067253e-33
4,7.09880888073279e-37
5,1.056606283541959e-40
6,1.0160333114101756e-32
7,2.9945418181449785e-39
8,2.2635356491059766e-38
9,7.041566336275774e-36
10,8.37001320255199e-37
11,2.1570968626753343e-36
12,8.939740081865641e-38
13,1.2684542723354649e-33
14,1.3414020968085943e-34
15,2.0342991191488788e-35
16,0.3296899617059416
17,5.3256777490289264e-39
18,0.3296899612117913
19,1.221851209345409e-38
20,2.8383326484353697e-08
21,9.244227363561398e-07
22,1.5447170598198745e-07
23,1.7097689432018313e-07
24,2.8279747797411497e-07
25,3.62785492788334e-08
26,6.437822458744624e-08
27,1.0130669878172725e-07
28,5.490365081665612e-07
29,5.052599060966e-08
