,fitness
0,3.199712044036838e-05
1,6.967700635099932e-05
2,5.612344429242218e-05
3,0.2882819169479931
4,0.00012043115408313914
5,3.532425954102208e-05
6,3.2426646229832644e-05
7,7.195885067965747e-05
8,0.00012994302998344708
9,5.593303387048168e-05
0,0.0001072485128312
1,0.0002336028477163
2,7.330105878257433e-05
3,4.90893100981229e-05
4,7.63183055238308e-05
5,0.0001337886960659
6,5.3918513564084415e-05
7,1.4454945891870056e-05
8,4.068831571838295e-05
9,0.0002534448226605
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
