,fitness
0,0.007497354342456941
1,0.001093474431640559
2,0.0034203560770172036
3,7.45095673847706e-05
4,0.009942243648874149
5,0.0003968897141706094
6,8.672112218407275e-05
7,0.008324352323124297
8,0.001389194117810982
9,5.172304856971982e-05
0,0.0480179724842898
1,0.0470079877668814
2,0.0017286463242745
3,5.55777337284811e-05
4,0.005242307084763
5,0.0020277329083469
6,0.0064301703419502
7,5.768643904711131e-07
8,6.472823476586562e-05
9,0.0009413149519687
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
