,ParticleSwarmOptimization,WhaleOptimizationAlgorithm,CuckooSearch,GreyWolfOptimizer,FruitFly,KrillHerd,WaterWaveOptimization
0,0.0018313115436673,6.228761332366151e-72,8.546116225420191e-39,2.242285931445106e-101,1.1004380083368706e-06,3.0612212125028875e-11,7.336957198631071e-06
1,0.0011402150633162,6.109072241721317e-63,1.4039066972997792e-38,6.911882419743123e-111,1.157779395350289e-06,3.6874261699249636e-11,1.247318418854672e-06
2,9.052745669703114e-05,6.186418671298612e-72,7.801914596818163e-36,5.320672128093523e-87,1.1478936439487e-06,4.663060588258348e-12,0.0006668406720549
3,0.0006618182825902,4.7219543303969515e-84,5.299666955947363e-40,7.178786932500935e-101,1.1675395658243506e-06,8.38917872441356e-11,2.311138227137517e-05
4,1.8632545342914272e-06,1.4021555411600178e-69,3.3739730143484015e-39,4.74328083016793e-105,1.143028062317833e-06,2.2761131308118238e-10,1.2503566190549762e-06
5,0.0012481292303616,1.1483546119278976e-69,3.6028622130206987e-41,5.342354389679711e-91,1.0708517146457417e-06,1.1095831669456104e-11,1.025217180101096e-06
6,1.7410385162291087e-05,0.2986384762519317,1.4284745778739077e-37,8.570318878581143e-89,1.1226490520010022e-06,1.9667184927052526e-10,0.0130005401001769
7,8.852054032978897e-05,1.283179464686115e-75,1.1818070028362871e-37,1.7755579261468303e-101,1.1499850719055974e-06,4.969647763635697e-12,0.0001339249113565
8,2.3835292102073017e-05,4.681449259325885e-72,2.8683306400411262e-40,1.1612025724018304e-98,1.117394026758815e-06,6.981997407340111e-11,0.0001590445920006
9,0.0004718640344562,6.009406579178163e-69,5.6512808340517806e-39,2.9608100213976054e-85,1.2014976060698534e-06,6.735299894080924e-11,0.0082717686493571
