,ParticleSwarmOptimization,WhaleOptimizationAlgorithm,CuckooSearch,GreyWolfOptimizer,FruitFly,KrillHerd,WaterWaveOptimization
0,-2.062610577682115,-2.06261187052332,-2.0626118708227392,-2.062611674619855,-1.993096163060043,-2.062611866756109,-2.062611870016925
1,-2.0626052539729005,-2.062611870679032,-2.06261187082274,-2.062611827654024,-1.9388764538571224,-2.062611870618122,-2.062609941101241
2,-2.0625703946416527,-2.062611869817975,-2.0626118708223973,-2.0626118201436765,-2.0557550394358746,-2.062611870811621,-2.0626118703919643
3,-2.062299954677309,-2.062611870162812,-2.06261187082274,-2.06261177564767,-1.9771396379102384,-2.062611870815448,-2.0624617325346257
4,-2.062394433894456,-2.0626118707288805,-2.0626118708227392,-2.0626118089136223,-1.9870928223422009,-2.0626118707159837,-2.062609115376102
5,-2.062602569287888,-2.06261187070431,-2.0626118708227392,-2.0626118703363905,-2.044510968938809,-2.062611870592939,-2.0626117994368918
6,-2.062589691314773,-2.062611870820975,-2.06261187082274,-2.062611863061946,-1.9573480375934025,-2.062611869226481,-2.0625765913234893
7,-2.062411598981052,-2.062611868615257,-2.0626118708227392,-2.0626118601798384,-1.986840105477602,-2.0626118705195884,-2.0625610971325927
8,-2.0626048350803647,-2.0626118707834205,-2.062611870822739,-2.062611731634529,-1.9821809159807744,-2.062611870285332,-2.0625983294662102
9,-2.0625739145170505,-2.0626118692237654,-2.06261187082274,-2.062611856018002,-2.028167999029664,-2.0626118708040004,-2.062611867987816
