,ParticleSwarmOptimization,WhaleOptimizationAlgorithm,CuckooSearch,GreyWolfOptimizer,FruitFly,KrillHerd,WaterWaveOptimization
0,-858.6012025431587,-959.6406627186984,-959.640662720851,-894.56215182865,-27.172219376272498,-535.9500070949988,-887.9953213416981
1,-888.9457020356183,-959.6406627206936,-959.640662720851,-443.4970922156099,-26.228599085219088,-749.8702895779559,-883.5862630109917
2,-559.7858881634154,-959.6406627199252,-959.640662720851,-512.3902644760329,-26.024105146871666,-572.2476911721944,-924.1093937036658
3,-558.1342044950749,-888.9491251887778,-959.6406627207778,-959.6404459377512,-26.85831015930757,-653.9183843860002,-944.2824379278792
4,-582.3015865689515,-888.949123863681,-959.64066272085,-959.6404211711604,-25.727110942190468,-760.418812776603,-931.97299908271
5,-684.747956907481,-959.6406627182166,-959.640662720851,-786.5142999292597,-25.804370320487177,-894.5788999195804,-942.2009940507368
6,-562.0969231052399,-935.3377726688686,-959.640662720851,-718.1524271316719,-26.582755626641585,-904.1281139369472,-943.88106536963
7,-716.6607535622829,-888.9491252679699,-959.640662720851,-959.6406504562522,-25.96979259623623,-565.9977762852209,-894.3768568835897
8,-718.166538946914,-894.5787089333423,-959.6406626789972,-507.8730239143572,-25.763224379861278,-558.5207297200436,-933.6843636989328
9,-426.4877762892092,-959.640662719966,-959.638401822263,-718.1628693326845,-26.6371567886404,-755.785151575335,-943.1874490424228
