,ParticleSwarmOptimization,WhaleOptimizationAlgorithm,CuckooSearch,GreyWolfOptimizer,FruitFly,KrillHerd,WaterWaveOptimization
0,-19.2082102875629,-19.208502541735758,-19.208502567886757,-19.2083413565433,-4.117876056526388,-19.208491635477834,-19.148185015066137
1,-19.20832143195347,-19.20850039459641,-19.208502567886743,-19.20837202699097,-4.414236416643931,-19.208502325491494,-19.161022912454023
2,-19.2050177867367,-19.20850248101972,-19.20850256788675,-19.20829239955197,-1.732608112295322,-19.20808362707044,-19.20804446742625
3,-18.020714575617006,-19.20850250650375,-19.208502567886743,-19.20845548110805,-4.118587864850831,-19.208501126192832,-19.20850255289884
4,-19.207430399736747,-19.208502510027845,-19.208502567886637,-19.20831610013625,-1.7319996680340657,-11.06954441328835,-19.207906869424185
5,-19.20665991685182,-19.208502359765067,-19.208502567886743,-19.20843251258272,-1.7316764192363698,-19.208502287465947,-19.20821747681825
6,-19.20703902778687,-19.20850252995963,-19.208502567846043,-19.20848848317003,-1.7317559885777325,-19.20849796388436,-19.08599215825675
7,-18.020662164872554,-19.208502494034946,-19.208502567886747,-19.2083704429681,-2.179987472653251,-14.253166239946092,-19.206655066935912
8,-19.20562501378167,-19.20850177288916,-19.2085025668684,-19.20665788723297,-1.7309566974371906,-9.50467702298651,-19.208489041220663
9,-19.20387327730726,-19.208502567780037,-19.208502567886743,-19.20848678514083,-1.7320970902823092,-19.208474320960573,-19.17608152427784
