,ParticleSwarmOptimization,CuckooSearch,GreyWolfOptimizer,FruitFly,KrillHerd,WhaleOptimizationAlgorithm,WaterWaveOptimization
0,6782.036242409331,6782.023739403623,6828.458681425147,inf,111115.69361792512,6782.023956175414,12666.64723521491
1,6782.493706295079,6782.02373940201,6783.900871119615,inf,121735.31934507636,7278.605786303251,11591.016554639897
2,6782.11133506229,6782.023739341021,6803.908909331732,inf,81726.8004900098,6782.023935659117,9350.937257161642
3,6782.18210098889,6782.023739293752,6857.270855611693,inf,142382.29944138485,6782.024450844327,13470.096201333983
4,6784.328166803435,6782.023739391804,6791.517234868892,inf,74578.07305019806,6782.024822902225,10968.887019700596
5,6782.031432540104,6782.023739669466,6873.646918975762,inf,24226.805982727627,6836.790769210864,8710.46996795365
6,6782.3380225832125,6782.023739295684,6860.9227340805965,inf,24488.25653704409,6782.024857568824,9823.227231070843
7,6782.5475599627625,6782.023739294202,6915.373872905255,inf,66224.84892152989,6782.02378394384,9918.328012755455
8,6784.8373740177485,6782.023739468488,6785.390366056253,inf,44419.33642839683,6782.025847807881,10927.614993175504
9,6856.880904059492,6782.023739862698,6789.7365396692985,inf,41659.39997801053,6782.023777646529,9946.549473807325
