,ParticleSwarmOptimization,WhaleOptimizationAlgorithm,CuckooSearch,GreyWolfOptimizer,FruitFly,KrillHerd,WaterWaveOptimization
0,-185.8145441425681,-186.59065201769272,-186.7309086055003,-186.72091425566805,-61.60594727531827,-186.73090859164384,-186.14399386769333
1,-185.62151885792736,-186.7306763719364,-186.73090867880788,-186.7290357899718,-24.85941835330694,-186.73090785376775,-186.73068668282235
2,-185.49612584039693,-186.7291412215206,-186.73081810612308,-186.730899934756,-16.393822019319224,-186.7309081965206,-186.60478080623471
3,-184.22518741499152,-186.7303220636963,-186.7220202886469,-123.57667458948258,-16.290425638068907,-186.73088526792628,-186.62399372418415
4,-180.26896172560097,-186.7309088283218,-186.7308875722898,-186.7292134967906,-16.345159476488092,-186.7309073332704,-186.59627687523476
5,-180.7165818810796,-186.73080654793588,-186.73090881859895,-186.7274217119459,-25.72717337331261,-186.73090821751575,-186.58760743879915
6,-186.72001555155032,-186.7287324816004,-186.7276823138122,-123.57548833242367,-37.51314533384782,-186.73090852997603,-186.37241605061345
7,-186.0316406630421,-186.73090632014376,-186.7308838332584,-186.7258780031726,-16.342966279874638,-186.73090837179245,-186.6952052559033
8,-180.80813746003903,-186.730908295761,-186.73084036103472,-123.57672915432664,-16.27849839249122,-186.73090877060767,-186.7307795186155
9,-184.88047353440805,-186.7305174136228,-186.73051061895995,-123.57669020932858,-21.697951630939546,-186.7309085939729,-186.72670219536909
