,ParticleSwarmOptimization,CuckooSearch,GreyWolfOptimizer,FruitFly,KrillHerd,WhaleOptimizationAlgorithm,WaterWaveOptimization
0,-78.31732839535223,-78.33233140754285,-64.19557286816377,-34.31332544513984,-78.33233139958028,-78.3322731015644,-78.33061646683525
1,-78.28106434592533,-78.33233140754285,-64.19560018933049,-38.91097843825861,-78.33233140545633,-78.33187229255873,-78.33219538570452
2,-78.247036908991,-78.33233140754285,-78.33228202311075,-48.95850528808539,-78.33233128676281,-78.33103062074048,-78.3323312563763
3,-78.31219325390924,-78.33233140754285,-78.332259756484,-36.76571438580979,-78.3323314045146,-78.33232951951567,-78.33151821701622
4,-78.31768535366756,-78.33233140754285,-78.33231256445626,-38.8491085633857,-78.33233140017062,-78.33111985737364,-78.33031995850844
5,-78.32571313426337,-78.33233140754285,-78.33227965433814,-33.64799159970697,-77.41846616644725,-78.33229816761155,-78.33223703366475
6,-78.2829957211788,-78.33233140754285,-78.3323161258879,-24.71996945411809,-78.33233140487695,-78.33230740064043,-78.3294276295112
7,-78.31534525049716,-78.33233140754285,-78.33226157885105,-36.878100971306246,-78.33233140408637,-78.33074316947304,-78.33233104974337
8,-78.30237467924209,-78.33233140754285,-64.19559461488966,-31.33619104195633,-77.45683808109297,-78.33226575367314,-78.33163088562105
9,-78.3232710487502,-78.33233140754285,-50.058882522286815,-35.046215203390666,-78.33233140230632,-78.33230221026733,-78.20454110808012
