,fitness
0,4.440892098500626e-16
1,4.440892098500626e-16
2,4.440892098500626e-16
3,4.440892098500626e-16
4,4.440892098500626e-16
5,4.440892098500626e-16
6,4.440892098500626e-16
7,4.440892098500626e-16
8,4.440892098500626e-16
9,4.440892098500626e-16
0,4.440892098500626e-16
1,4.440892098500626e-16
2,4.440892098500626e-16
3,4.440892098500626e-16
4,4.440892098500626e-16
5,4.440892098500626e-16
6,4.440892098500626e-16
7,4.440892098500626e-16
8,4.440892098500626e-16
9,4.440892098500626e-16
10,4.440892098500626e-16
11,4.440892098500626e-16
12,4.440892098500626e-16
13,4.440892098500626e-16
14,4.440892098500626e-16
15,4.440892098500626e-16
16,4.440892098500626e-16
17,4.440892098500626e-16
18,4.440892098500626e-16
19,4.440892098500626e-16
