,fitness
0,3.9968028886505635e-15
1,2.531308496145357e-14
2,3.597122599785507e-14
3,2.531308496145357e-14
4,3.9968028886505635e-15
5,4.440892098500626e-16
6,4.440892098500626e-16
7,1.4654943925052066e-14
8,5.0182080713057076e-14
9,4.440892098500626e-16
0,4.307665335545608e-14
1,1.4654943925052066e-14
2,1.318944953254686e-13
3,4.307665335545608e-14
4,3.996802888650564e-15
5,1.1102230246251564e-14
6,3.996802888650564e-15
7,4.440892098500626e-16
8,3.241851231905457e-14
9,4.440892098500626e-16
10,3.9968028886505635e-15
11,2.278177646530821e-13
12,3.9968028886505635e-15
13,1.4654943925052066e-14
14,7.549516567451064e-15
15,3.9968028886505635e-15
16,1.1102230246251564e-14
17,1.4654943925052066e-14
18,3.9968028886505635e-15
19,3.9968028886505635e-15
20,4.3076653355456086e-14
21,1.1102230246251564e-14
22,1.8207657603852567e-14
23,7.549516567451064e-15
24,4.3076653355456086e-14
25,4.6629367034256575e-14
26,3.996802888650564e-15
27,3.805844528415037e-13
28,3.996802888650564e-15
29,1.4654943925052066e-14
